City,StateName,2021_Avg_Rent,2022_Avg_Rent,2023_Avg_Rent,2024_Avg_Rent,2025_Avg_Rent,Current_Rent
"Traverse City, MI",MI,,,,,2210.0,2210.0
"Bangor, ME",ME,,,,,1869.0,1869.0
"Homosassa Springs, FL",FL,1404.0,1601.0,1693.0,1744.0,1777.0,1777.0
"Hanford, CA",CA,,1915.0,1988.0,2071.0,2162.0,2162.0
"Jefferson City, MO",MO,,,,1443.0,1506.0,1506.0
"Florence, AL",AL,,,1239.0,1333.0,1421.0,1421.0
"Dothan, AL",AL,,,1368.0,1398.0,1441.0,1441.0
"Albany, GA",GA,941.0,1064.0,1106.0,1170.0,1213.0,1213.0
"Sioux City, IA",IA,,,,,1334.0,1334.0
"Wichita Falls, TX",TX,996.0,1120.0,1178.0,1231.0,1268.0,1268.0
"Texarkana, TX",TX,,,1148.0,1172.0,1236.0,1236.0
"Valdosta, GA",GA,,1204.0,1286.0,1356.0,1432.0,1432.0
"Logan, UT",UT,,1606.0,1621.0,1671.0,1724.0,1724.0
"Flagstaff, AZ",AZ,2014.0,2331.0,2425.0,2489.0,2579.0,2579.0
"Rocky Mount, NC",NC,,1144.0,1209.0,1287.0,1367.0,1367.0
"Pottsville, PA",PA,,,,1152.0,1220.0,1220.0
"Dalton, GA",GA,,,,,1706.0,1706.0
"Lebanon, PA",PA,,,1411.0,1508.0,1554.0,1554.0
"Morristown, TN",TN,,,,1763.0,1802.0,1802.0
"Winchester, VA",VA,1563.0,1727.0,1820.0,1931.0,2012.0,2012.0
"Wheeling, WV",OH,,,,,1087.0,1087.0
"Morgantown, WV",WV,1578.0,1685.0,1767.0,1841.0,1912.0,1912.0
"La Crosse, WI",WI,,,,1563.0,1632.0,1632.0
"Napa, CA",CA,3079.0,3290.0,3408.0,3455.0,3531.0,3531.0
"Rapid City, SD",SD,,1646.0,1751.0,1847.0,1913.0,1913.0
"Sumter, SC",SC,1126.0,1272.0,1361.0,1436.0,1501.0,1501.0
"Eureka, CA",CA,,,2041.0,2094.0,2163.0,2163.0
"Springfield, OH",OH,,,1172.0,1269.0,1350.0,1350.0
"Harrisonburg, VA",VA,1301.0,1467.0,1588.0,1683.0,1787.0,1787.0
"Battle Creek, MI",MI,,,1242.0,1363.0,1426.0,1426.0
"Sherman, TX",TX,1363.0,1511.0,1567.0,1609.0,1637.0,1637.0
"Manhattan, KS",KS,1224.0,1294.0,1348.0,1419.0,1504.0,1504.0
"Carbondale, IL",IL,,922.0,957.0,1026.0,1103.0,1103.0
"Johnstown, PA",PA,,,828.0,847.0,895.0,895.0
"Jonesboro, AR",AR,1175.0,1249.0,1320.0,1386.0,1451.0,1451.0
"Bismarck, ND",ND,,,,1697.0,1813.0,1813.0
"Hammond, LA",LA,,1351.0,1405.0,1461.0,1513.0,1513.0
"Pittsfield, MA",MA,,,,,2517.0,2517.0
"Mount Vernon, WA",WA,2228.0,2392.0,2490.0,2590.0,2670.0,2670.0
"The Villages, FL",FL,,1962.0,2082.0,2139.0,2188.0,2188.0
"Albany, OR",OR,,1923.0,2013.0,2094.0,2174.0,2174.0
"Lawton, OK",OK,913.0,1020.0,1075.0,1137.0,1193.0,1193.0
"Cleveland, TN",TN,,1324.0,1404.0,1459.0,1523.0,1523.0
"Sierra Vista, AZ",AZ,,1405.0,1473.0,1517.0,1558.0,1558.0
"Ames, IA",IA,1243.0,1303.0,1366.0,1440.0,1495.0,1495.0
"Mansfield, OH",OH,,,,1211.0,1322.0,1322.0
"Staunton, VA",VA,,1435.0,1507.0,1618.0,1681.0,1681.0
"Augusta, ME",ME,,,,,1844.0,1844.0
"Altoona, PA",PA,,,,,1148.0,1148.0
"New Bern, NC",NC,,1316.0,1397.0,1483.0,1566.0,1566.0
"Farmington, NM",NM,,,,,1542.0,1542.0
"St. Joseph, MO",MO,,,,972.0,1022.0,1022.0
"San Angelo, TX",TX,1387.0,1465.0,1512.0,1551.0,1599.0,1599.0
"Wenatchee, WA",WA,,,2283.0,2414.0,2477.0,2477.0
"Owensboro, KY",KY,,,,,1475.0,1475.0
"Lumberton, NC",NC,,,,,1077.0,1077.0
"Lawrence, KS",KS,1369.0,1473.0,1597.0,1711.0,1826.0,1826.0
